Model,Loss,Features,Val Micro,Test Micro (Std),Val Macro,Test Macro (Std),Val PR-AUC,Test PR-AUC,Test Loss,Head F1 (Top 10),Tail F1 (Rest),Gap,Test PR-AUC_mean,Test PR-AUC_std,Val Micro_mean,Val Micro_std,Test Micro (Std)_mean,Test Micro (Std)_std,Config
GAT,BCE,BGE Only (768),0.6901 ± 0.0020,0.2175 ± 0.0038,0.1030 ± 0.0012,0.0493 ± 0.0013,0.2249 ± 0.0022,0.1450 ± 0.0028,0.0911 ± 0.0007,0.3439,0.0129,0.3311,0.145,0.0028,0.6901,0.002,0.2175,0.0038,GAT + BCE (No BM25)
GCN,BCE,BGE Only (768),0.8016 ± 0.0021,0.4685 ± 0.0058,0.3293 ± 0.0096,0.1788 ± 0.0051,0.4946 ± 0.0012,0.3713 ± 0.0063,0.0651 ± 0.0016,0.4987,0.1859,0.3128,0.3713,0.0063,0.8016,0.0021,0.4685,0.0058,GCN + BCE (No BM25)
GCN,BCE,BGE + BM25 (822),0.8916 ± 0.0022,0.4838 ± 0.0037,0.2902 ± 0.0070,0.1692 ± 0.0125,0.4254 ± 0.0054,0.4002 ± 0.0155,0.0709 ± 0.0016,0.5217,0.0857,0.436,0.4002,0.0155,0.8916,0.0022,0.4838,0.0037,GCN + BCE
GCN,Focal,BGE + BM25 (822),0.8755 ± 0.0088,0.4704 ± 0.0205,0.2933 ± 0.0143,0.1829 ± 0.0115,0.4807 ± 0.0251,0.4520 ± 0.0173,0.0098 ± 0.0004,0.4712,0.1666,0.3046,0.452,0.0173,0.8755,0.0088,0.4704,0.0205,GCN + Focal
SAGE,BCE,BGE + BM25 (822),0.9270 ± 0.0006,0.5890 ± 0.0246,0.3240 ± 0.0067,0.2040 ± 0.0038,0.5245 ± 0.0078,0.5478 ± 0.0111,0.0315 ± 0.0013,0.6464,0.1182,0.5282,0.5478,0.0111,0.927,0.0006,0.589,0.0246,SAGE + BCE
SAGE,Focal,BGE + BM25 (822),0.9146 ± 0.0013,0.5928 ± 0.0494,0.2741 ± 0.0010,0.1710 ± 0.0138,0.5185 ± 0.0083,0.5213 ± 0.0166,0.0035 ± 0.0002,0.6354,0.0983,0.5371,0.5213,0.0166,0.9146,0.0013,0.5928,0.0494,SAGE + Focal
TRANSFORMER,BCE,BGE + BM25 (822),0.9246 ± 0.0012,0.6270 ± 0.0613,0.3222 ± 0.0084,0.2069 ± 0.0090,0.5185 ± 0.0128,0.5613 ± 0.0147,0.0289 ± 0.0026,0.7342,0.1199,0.6143,0.5613,0.0147,0.9246,0.0012,0.627,0.0613,TRANSFORMER + BCE
TRANSFORMER,Focal,BGE + BM25 (822),0.9242 ± 0.0008,0.6876 ± 0.0540,0.3457 ± 0.0022,0.2319 ± 0.0194,0.6557 ± 0.0146,0.6713 ± 0.0148,0.0041 ± 0.0004,0.6602,0.2156,0.4445,0.6713,0.0148,0.9242,0.0008,0.6876,0.054,TRANSFORMER + Focal
GATV2,BCE,BGE + BM25 (822),0.9191 ± 0.0011,0.7124 ± 0.0051,0.3128 ± 0.0093,0.1945 ± 0.0089,0.5168 ± 0.0079,0.4753 ± 0.0111,0.0263 ± 0.0009,0.6469,0.0738,0.5731,0.4753,0.0111,0.9191,0.0011,0.7124,0.0051,GATV2 + BCE
GATV2,Focal,BGE + BM25 (822),0.9212 ± 0.0015,0.7085 ± 0.0082,0.3362 ± 0.0047,0.2140 ± 0.0168,0.6022 ± 0.0124,0.6290 ± 0.0226,0.0035 ± 0.0002,0.6504,0.1004,0.5500,0.629,0.0226,0.9212,0.0015,0.7085,0.0082,GATV2 + Focal
