Task_Name,F1_Score,Training_Samples
image-feature-extraction,1.0,72.0
automatic-speech-recognition,0.8085106382978723,7335.0
text-generation,0.8081395348837209,36044.0
audio-to-audio,0.6666666666666666,54.0
image-classification,0.6451612903225806,5143.0
text-to-speech,0.631578947368421,368.0
audio-classification,0.6,859.0
translation,0.5263157894736842,943.0
summarization,0.5,666.0
text-classification,0.49586776859504134,14780.0
table-question-answering,0.46153846153846156,87.0
visual-question-answering,0.4444444444444444,171.0
sentence-similarity,0.42105263157894735,1360.0
image-segmentation,0.35294117647058826,461.0
feature-extraction,0.29411764705882354,1949.0
token-classification,0.2909090909090909,5269.0
object-detection,0.2857142857142857,870.0
text-to-image,0.22279792746113988,14713.0
fill-mask,0.21621621621621623,2477.0
image-to-text,0.16666666666666666,982.0
question-answering,0.16342412451361868,3237.0
zero-shot-classification,0.16,204.0
text-to-audio,0.15384615384615385,803.0
image-text-to-text,0.09302325581395349,256.0
text-to-video,0.07692307692307693,44.0
multiple-choice,0.0,396.0
image-to-3d,0.0,5.0
image-to-video,0.0,5.0
text-to-3d,0.0,3.0
robotics,0.0,20.0
reinforcement-learning,0.0,40.0
text-retrieval,0.0,59.0
video-classification,0.0,552.0
time-series-forecasting,0.0,8.0
any-to-any,0.0,4.0
image-to-image,0.0,125.0
depth-estimation,0.0,40.0
zero-shot-image-classification,0.0,103.0
tabular-classification,0.0,19.0
tabular-regression,0.0,10.0
table-to-text,0.0,6.0
video-text-to-text,0.0,5.0
voice-activity-detection,0.0,8.0
audio-text-to-text,0.0,1.0
document-question-answering,0.0,12.0
visual-document-retrieval,0.0,3.0
text-ranking,0.0,66.0
graph-ml,0.0,10.0
tabular-to-text,0.0,4.0
unconditional-image-generation,0.0,17.0
mask-generation,0.0,36.0
keypoint-detection,0.0,0.0
zero-shot-object-detection,0.0,13.0
video-to-video,0.0,0.0
